Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4,HIGHEST IN THE ROOM,Travis Scott,7932251,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019,11,15,us,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
5,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6850655,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2019,11,15,us,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323,4
6,Lose You To Love Me,Selena Gomez,6505652,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019,11,15,us,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
7,Someone You Loved,Lewis Capaldi,5943398,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019,11,15,us,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
8,hot girl bummer,blackbear,5855345,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019,11,15,us,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,185093,1
9,Memories,Maroon 5,5839365,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019,11,15,us,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
10,Watermelon Sugar,Harry Styles,5465192,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo,2019,11,15,us,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4
11,Lights Up,Harry Styles,5319016,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63,2019,11,15,us,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4
12,223's (feat. 9lokknine),YNW Melly,5300445,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI,2019,11,15,us,0.932,0.547,0,-7.787,0,0.333,0.0388,0,0.0924,0.695,94.998,176640,4
13,Dance Monkey,Tones And I,5140884,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,11,15,us,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
14,BOP,DaBaby,4978028,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2019,11,15,us,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715,4
15,Stuck In A Dream (feat. Gunna),Lil Mosey,4816461,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,2019,11,15,us,0.748,0.648,10,-6.445,0,0.0816,0.484,0,0.126,0.726,139.952,123560,4
16,Don't Start Now,Dua Lipa,4753717,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019,11,15,us,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
17,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,4619364,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de,2019,11,15,us,0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,279907,4
18,Woah,Lil Baby,4543703,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,2019,11,15,us,0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,142.959,183011,4
